time,reference,T F out,T C in,T F in,T C out
3619676344,296.41013,41.589423,19.194203,41.454587,19.253149
3619676345,296.41013,41.454587,19.194203,41.454587,19.371033
3619676345,296.417425,41.519574,19.201548,41.769958,19.339084
3619676346,296.41013,41.666465,19.076302,41.493113,19.253149
3619676346,296.417425,41.558098,19.063997,41.692922,19.319437
3619676347,296.41013,41.512376,19.2335,41.570162,19.292445
3619676347,296.417425,41.519574,19.221197,41.538836,19.280142
3619676348,296.417425,41.577359,19.063997,41.73144,19.29979
3619676348,296.417425,41.712181,19.181899,41.577359,19.280142
3619676349,296.41013,41.531638,19.135254,41.589423,19.410325
3619676349,296.41013,41.666465,19.115603,41.493113,19.292445
3619676350,296.41013,41.704985,19.272797,41.512376,19.2335
3619676350,296.41013,41.589423,19.05665,41.589423,19.2335
3619676351,296.41013,41.859049,19.174553,41.5509,19.292445
3619676351,296.41013,41.762761,19.331739,41.493113,19.213852
3619676352,296.41013,41.589423,19.154904,41.704985,19.2335
3619676352,296.417425,41.442522,19.181899,41.558098,19.280142
3619676353,296.417425,41.635142,19.083648,41.712181,19.260494
