time,reference,T F out,T C in,T F in,T C out
3627490888,298.63494,40.762528,41.302098,41.051614,40.627596
3627490889,298.63494,40.66615,41.436952,40.935988,40.589041
3627490889,298.63494,40.858898,41.225032,40.916716,40.550485
3627490890,298.63494,40.704702,41.263566,40.878171,40.531207
3627490890,298.63494,40.723977,41.263566,40.858898,40.646873
3627490891,298.63494,40.454089,41.263566,40.801077,40.646873
3627490891,298.642235,40.75047,41.212979,40.981747,40.576982
3627490892,298.642235,40.846841,41.232246,40.654091,40.499867
3627490892,298.63494,40.801077,41.359894,40.897444,40.550485
3627490893,298.63494,40.704702,41.359894,40.743253,40.589041
3627490893,298.63494,40.839625,41.359894,40.762528,40.492649
3627490894,298.63494,40.723977,41.398424,40.993803,40.492649
3627490894,298.63494,40.762528,41.456215,40.820351,40.531207
3627490895,298.63494,40.781802,41.340629,40.723977,40.434809
3627490895,298.63494,40.704702,41.205765,40.801077,40.569763
3627490896,298.63494,40.916716,41.706613,40.801077,40.396248
3627490896,298.63494,40.935988,41.610312,40.897444,40.454089
3627490897,298.642235,40.75047,41.328577,40.808294,40.480588
3627490897,298.642235,40.846841,41.424901,40.731195,40.480588
3627490898,298.63494,40.820351,41.436952,40.993803,40.473369
3627490898,298.642235,40.789019,41.55974,40.769745,40.461308
3627490899,298.642235,40.808294,41.752342,41.039559,40.557703
3627490899,298.63494,40.839625,41.475479,40.743253,40.473369
3627490900,298.63494,40.743253,41.610312,40.723977,40.396248
3627490900,298.642235,40.769745,41.212979,40.981747,40.442028
3627490901,298.642235,40.75047,41.232246,40.769745,40.519146
3627490901,298.63494,40.820351,41.57179,40.723977,40.434809
3627490902,298.642235,40.808294,41.405637,40.731195,40.442028
3627490902,298.63494,40.781802,41.456215,40.878171,40.434809
3627490903,298.642235,40.827567,41.55974,40.846841,40.461308
3627490903,298.642235,40.769745,41.424901,40.769745,40.480588
3627490904,298.642235,40.885387,41.347843,40.75047,40.384186
3627490904,298.63494,40.95526,41.167229,40.743253,40.531207
3627490905,298.642235,40.808294,41.501954,40.846841,40.480588
3627490905,298.642235,40.731195,41.405637,40.808294,40.499867
3627490906,298.642235,40.615537,41.251513,40.866114,40.422748
3627490906,298.642235,40.75047,41.328577,40.75047,40.480588
3627490907,298.63494,40.762528,41.648834,40.723977,40.473369
3627490907,298.642235,40.808294,41.367108,40.885387,40.422748
3627490908,298.642235,40.943204,41.290046,40.827567,40.499867
3627490908,298.642235,40.808294,41.116638,40.808294,40.519146
3627490909,298.63494,40.820351,41.167229,40.781802,40.434809
3627490909,298.642235,40.808294,41.424901,40.75047,40.442028
3627490910,298.642235,40.866114,41.424901,40.808294,40.480588
3627490910,298.642235,40.596259,41.636785,40.789019,40.422748
3627490911,298.63494,40.704702,41.494742,40.781802,40.473369
3627490911,298.63494,40.723977,41.629573,40.704702,40.357686
3627490912,298.642235,40.75047,41.232246,40.692643,40.480588
3627490912,298.642235,41.020289,41.55974,40.827567,40.519146
3627490913,298.642235,40.654091,41.347843,40.885387,40.499867
3627490913,298.642235,40.634814,41.540479,40.711919,40.461308
3627490914,298.642235,40.557703,41.598263,40.90466,40.692643
3627490914,298.642235,40.557703,41.039559,40.943204,40.596259
3627490915,298.642235,40.75047,41.328577,40.90466,40.480588
3627490915,298.642235,40.731195,41.347843,40.692643,40.596259
3627490916,298.642235,40.692643,41.251513,40.90466,40.480588
3627490916,298.642235,41.020289,41.309312,40.866114,40.422748
3627490917,298.642235,40.885387,41.309312,40.731195,40.422748
3627490917,298.642235,40.769745,41.232246,40.673367,40.384186
3627490918,298.642235,40.923932,41.212979,40.731195,40.480588
3627490918,298.649529,40.931148,41.393586,40.719136,40.487807
3627490919,298.642235,40.692643,41.482691,40.789019,40.519146
3627490919,298.642235,40.769745,41.155175,40.769745,40.461308
3627490920,298.642235,40.731195,41.424901,40.789019,40.480588
3627490920,298.642235,40.827567,41.232246,40.499867,40.442028
3627490921,298.649529,40.95042,41.143121,40.796236,40.449247
3627490921,298.642235,40.846841,41.347843,40.846841,40.442028
3627490922,298.649529,40.719136,41.509166,40.719136,40.468527
3627490922,298.642235,40.75047,41.424901,40.827567,40.422748
3627490923,298.642235,40.923932,41.174443,40.75047,40.461308
3627490923,298.642235,40.711919,41.579002,40.731195,40.442028
3627490924,298.642235,40.846841,41.347843,40.885387,40.480588
3627490924,298.649529,40.776962,41.181658,40.699861,40.487807
3627490925,298.642235,40.846841,41.270779,40.962476,40.654091
